,Customer_Name,Similar_Customer_1,Similar_Customer_2,Similar_Customer_3,Similar_Customer_4,Similar_Customer_5
2093,C_1487994,"('C_611336', 0.44146267146547613)","('C_70276', 0.5)","('C_588015', 0.5580582617584078)","('C_388343', 0.6464466094067263)","('C_1332886', 0.6464466094067263)"
2094,C_1488491,"('C_2033094', 0.8248889419777976)","('C_584127', 0.8393070724599436)","('C_276233', 0.8408960649612369)","('C_1910823', 0.8424000477800178)","('C_2168910', 0.8424000477800178)"
2095,C_1488886,"('C_2018294', 0.792609661053915)","('C_1683339', 0.792609661053915)","('C_689374', 0.7986937473035163)","('C_2483930', 0.8203946979732251)","('C_851622', 0.8203946979732251)"
2096,C_1489216,"('C_862679', 0.6666666666666667)","('C_2562779', 0.8075499102701247)","('C_752250', 0.850928801500014)","('C_927668', 0.865324262374505)","('C_1466734', 0.8691948648661946)"
2097,C_148929,"('C_2072553', 0.6181292142722137)","('C_553892', 0.7014987316618906)","('C_888402', 0.787873810634367)","('C_727992', 0.8170345821500866)","('C_1172852', 0.8305312038104854)"
2098,C_1489340,"('C_2273169', 0.3843596958269718)","('C_1327534', 0.49159373670163575)","('C_1739494', 0.536777211027827)","('C_2547793', 0.5475330470010927)","('C_2476448', 0.5521999664050783)"
2099,C_1489848,"('C_1280607', 0.6909263807920769)","('C_2529354', 0.695687799050958)","('C_732478', 0.7101759747373158)","('C_717608', 0.7123313848875064)","('C_1201960', 0.7262913360505416)"
2100,C_1490116,"('C_1782762', 0.7391315936472462)","('C_1035392', 0.7559799500985682)","('C_2257488', 0.7559799500985682)","('C_628232', 0.7559799500985682)","('C_376461', 0.7559799500985682)"
2101,C_1490577,"('C_2368041', 0.3435109698609218)","('C_2564978', 0.41054203526120503)","('C_1236156', 0.4134603183749006)","('C_670948', 0.45762652244487734)","('C_635217', 0.48498927222486843)"
2102,C_1490652,"('C_524575', 0.6477786781238298)","('C_1670790', 0.7510072435844013)","('C_2445382', 0.771279901724076)","('C_1555825', 0.771279901724076)","('C_1352311', 0.771279901724076)"
2103,C_1490726,"('C_851622', 0.7252437333100228)","('C_2483930', 0.7252437333100228)","('C_1352311', 0.7252437333100228)","('C_1410184', 0.7485667487025971)","('C_1729865', 0.7712131299455398)"
2104,C_1490978,"('C_46513', 0.6692871561408976)","('C_1292799', 0.6836150500748506)","('C_2417616', 0.6876990666707248)","('C_312103', 0.7117675163548249)","('C_2409365', 0.7227593236290542)"
2105,C_1491018,"('C_2189562', 0.7899037259804073)","('C_1442327', 0.8259539494440433)","('C_2018294', 0.8280532000538414)","('C_1868663', 0.8286321948539823)","('C_273833', 0.8354960474474076)"
2106,C_1491691,"('C_2550424', 0.6472985642235196)","('C_174256', 0.6843019591169139)","('C_1626735', 0.6885001223748182)","('C_1114300', 0.7060135586175305)","('C_331854', 0.7245851826444065)"
2107,C_149171,"('C_1812007', 0.6026031659156332)","('C_31829', 0.7248588550203987)","('C_1279415', 0.7486641738706734)","('C_535578', 0.7486641738706734)","('C_275091', 0.7571158340038754)"
2108,C_1491743,"('C_1297940', 0.4659522262484216)","('C_1947346', 0.5113508680814438)","('C_1365372', 0.5273540054850165)","('C_136969', 0.578436888610939)","('C_1236512', 0.5980880916144706)"
2109,C_1491843,"('C_778464', 0.6365811136226512)","('C_2251964', 0.6848315368600179)","('C_1393875', 0.685309705128591)","('C_86680', 0.6908618071000225)","('C_1712084', 0.7050087599666353)"
2110,C_1491990,"('C_1914508', 0.5874856763373049)","('C_658123', 0.6361965624455006)","('C_2027516', 0.704325601155021)","('C_2069455', 0.7139205840591394)","('C_2049763', 0.7158209599221974)"
2111,C_1492206,"('C_401375', 0.7676037053948201)","('C_1689465', 0.8356710041620506)","('C_1573522', 0.8477725407333719)","('C_1280607', 0.8525233209258549)","('C_863720', 0.8579811283796814)"
2112,C_1492521,"('C_1450800', 0.5521754432606637)","('C_2502315', 0.5540690264325574)","('C_594536', 0.6489619537387408)","('C_706749', 0.6578873349611754)","('C_2032341', 0.6620626432196632)"
2113,C_1492547,"('C_2553421', 0.7656654002399739)","('C_2438774', 0.767209696699683)","('C_264844', 0.7769913169841713)","('C_275933', 0.7946720931772329)","('C_2516965', 0.7972196857723731)"
2114,C_1492814,"('C_2218597', 0.7958758547680684)","('C_491924', 0.7958758547680684)","('C_251989', 0.7958758547680684)","('C_2483930', 0.7958758547680684)","('C_1160648', 0.7958758547680684)"
2115,C_1493184,"('C_728150', 0.7175268032499678)","('C_1420594', 0.7189286639962145)","('C_210579', 0.7346499514474634)","('C_843431', 0.8002612870746103)","('C_485910', 0.8002612870746103)"
2116,C_1493230,"('C_97680', 0.27081582131844684)","('C_389516', 0.3152093822748169)","('C_512196', 0.34793939562770926)","('C_1607447', 0.36552539891585456)","('C_1587636', 0.3914820906995794)"
2117,C_1493596,"('C_425885', 0.7264111850739141)","('C_1939167', 0.7377692645900948)","('C_645647', 0.7624365962933366)","('C_552960', 0.7760149079516067)","('C_744568', 0.7870428351295423)"
2118,C_1495012,"('C_1458438', 0.7274958640123408)","('C_277712', 0.7437752063304737)","('C_631743', 0.7437752063304737)","('C_203457', 0.7454300427123848)","('C_1935521', 0.7560665076483641)"
2119,C_1495914,"('C_1931969', 0.6504215187536418)","('C_2114410', 0.6969066271324462)","('C_2265494', 0.7067634715911129)","('C_184635', 0.707348271871374)","('C_195476', 0.7133023713225755)"
2120,C_1496062,"('C_1607287', 0.5415333207658402)","('C_283721', 0.6544032547650543)","('C_1368871', 0.6777227203486555)","('C_238508', 0.6826894106268098)","('C_1528220', 0.7017976794548193)"
2121,C_1496453,"('C_2569769', 0.5230595539532796)","('C_2015959', 0.5369764466392584)","('C_2560824', 0.6220308487357873)","('C_499563', 0.6347693381173946)","('C_751507', 0.6526640590705733)"
2122,C_1496520,"('C_1295202', 0.6024088862140098)","('C_374750', 0.6749324207079728)","('C_1537045', 0.7406857789287906)","('C_267087', 0.7552525890222704)","('C_2054588', 0.7614656100027876)"
2123,C_1497049,"('C_2483930', 0.5951914615457653)","('C_851622', 0.5951914615457653)","('C_1352311', 0.5951914615457653)","('C_393570', 0.5969453021494322)","('C_1729865', 0.6629198685802227)"
2124,C_1497593,"('C_727719', 0.5614865547940384)","('C_1068177', 0.5780520355847971)","('C_878413', 0.6553127496602951)","('C_1692711', 0.6573278145853836)","('C_1192005', 0.6693151215040954)"
2125,C_1497698,"('C_2029582', 0.5728011535471701)","('C_2425465', 0.593531854206016)","('C_2325213', 0.6099743125844616)","('C_129969', 0.655932226967701)","('C_1016953', 0.6725073917777937)"
2126,C_1497746,"('C_2221000', 0.5952735550756968)","('C_32448', 0.6804141176396807)","('C_2190254', 0.6911614972673109)","('C_926712', 0.7262646562609251)","('C_2128454', 0.7320423576263261)"
2127,C_1497762,"('C_205535', 0.39918369151680866)","('C_639359', 0.4480811344544151)","('C_929757', 0.46869760129500826)","('C_2035439', 0.5481881160952803)","('C_1102450', 0.5790747073418482)"
2128,C_1497854,"('C_1748524', 0.4562629842875596)","('C_434475', 0.4562629842875596)","('C_2141305', 0.4562629842875596)","('C_1568485', 0.4562629842875596)","('C_2343068', 0.48681292634083084)"
2129,C_1498082,"('C_41724', 0.5802707429827982)","('C_1927486', 0.5917517095361369)","('C_2370610', 0.6220355269907728)","('C_120143', 0.6308027147892179)","('C_2526361', 0.6464466094067263)"
2130,C_1498269,"('C_2430247', 0.6290179510397261)","('C_1766753', 0.7648851196374019)","('C_1362428', 0.7648851196374019)","('C_1157896', 0.7648851196374019)","('C_2363469', 0.7956869233616524)"
2131,C_1498424,"('C_695890', 0.7430937135132916)","('C_1290800', 0.7574287953111085)","('C_87389', 0.784528367890884)","('C_959780', 0.7884913707437784)","('C_1428263', 0.7904405889903473)"
2132,C_1498895,"('C_307871', 0.773619460508131)","('C_1297940', 0.773619460508131)","('C_1324747', 0.7784241686913718)","('C_1947346', 0.7928637482581974)","('C_1973370', 0.7952310974547012)"
2133,C_1499112,"('C_1908051', 0.5913436389658255)","('C_2543093', 0.6146630431454139)","('C_1998768', 0.6154773727189107)","('C_1113835', 0.6310679518870846)","('C_248977', 0.6591286580591831)"
2134,C_1499346,"('C_936906', 0.7732213161944637)","('C_2110154', 0.8)","('C_2326530', 0.8)","('C_2254702', 0.8)","('C_1885894', 0.8)"
2135,C_1499564,"('C_239376', 0.6220355269907728)","('C_2558074', 0.7655901056102017)","('C_517289', 0.7705228123643832)","('C_2377092', 0.7817821097640076)","('C_763058', 0.8115752313369736)"
2136,C_1499770,"('C_229716', 0.8377785788692375)","('C_795937', 0.8709005551264195)","('C_208290', 0.8748431623476978)","('C_2344565', 0.8908910548820038)","('C_1648095', 0.9486567831910702)"
2137,C_1499880,"('C_2550424', 0.5821542684034338)","('C_2011546', 0.6221804032550255)","('C_1626735', 0.6309657941369387)","('C_2076007', 0.638979046962412)","('C_174256', 0.6506268460295731)"
2138,C_150010,"('C_1733227', 0.624292886161614)","('C_750064', 0.7296325507535317)","('C_423409', 0.7397867377869101)","('C_1563904', 0.752183314454307)","('C_1675856', 0.766087640304816)"
2139,C_1500431,"('C_1445271', 0.5643354763587387)","('C_1042700', 0.6408101248043216)","('C_732815', 0.6861916114121458)","('C_1235815', 0.7142293844254772)","('C_1593936', 0.7144206405146794)"
2140,C_150048,"('C_1481896', 0.5859606643945874)","('C_1885917', 0.6400664341499063)","('C_2371391', 0.6666666666666665)","('C_442891', 0.6666666666666665)","('C_1675850', 0.7113248654051871)"
2141,C_1500515,"('C_1042158', 0.5978223450333569)","('C_390600', 0.7719867018766688)","('C_2470931', 0.783409745637359)","('C_2130101', 0.7863195821036334)","('C_2217417', 0.7930813035918658)"
2142,C_1500701,"('C_418186', 0.6944699373715864)","('C_1910823', 0.7420972890743949)","('C_2168910', 0.7420972890743949)","('C_1078833', 0.7584572771100804)","('C_782532', 0.7880509138971338)"
2143,C_1500805,"('C_1893447', 0.49707124407055725)","('C_2483930', 0.5702846720792032)","('C_851622', 0.5702846720792032)","('C_1352311', 0.5702846720792032)","('C_1904747', 0.5924050030961802)"
2144,C_1501328,"('C_53195', 0.8388169197960258)","('C_1358744', 0.8558334703364452)","('C_1816877', 0.8612176098468045)","('C_2127860', 0.862996181410438)","('C_1584150', 0.8642571450995937)"
2145,C_1501539,"('C_86680', 0.6374129260881176)","('C_2048256', 0.7090980015437729)","('C_778464', 0.7158315307042145)","('C_607421', 0.717722982090269)","('C_1352592', 0.7283029455751908)"
2146,C_1501665,"('C_743303', 0.6466708038366201)","('C_205245', 0.6710724744654266)","('C_1202856', 0.7127847653745548)","('C_2275405', 0.7161018727768871)","('C_1699001', 0.7400417088265986)"
2147,C_1501754,"('C_1934069', 0.7021725131757869)","('C_1042158', 0.7113248654051871)","('C_2554456', 0.7365043076911771)","('C_2145945', 0.7397905980954771)","('C_2379079', 0.7432667248719445)"
2148,C_1501777,"('C_1006409', 0.786208571199003)","('C_1619341', 0.7893744011298094)","('C_68933', 0.8140734558616061)","('C_1838467', 0.8148997185441612)","('C_1264757', 0.8152106319367736)"
2149,C_1502092,"('C_530127', 0.682045676485959)","('C_1963685', 0.7073579122353788)","('C_1083007', 0.7839260108248183)","('C_324240', 0.7943972477181209)","('C_2437942', 0.8286030475234777)"
2150,C_1502495,"('C_2266366', 0.4826011144789105)","('C_171388', 0.488457697792817)","('C_2098191', 0.5627480292406137)","('C_711144', 0.6083413653267503)","('C_428603', 0.6298377556465605)"
2151,C_1502912,"('C_1643405', 0.7171363768448611)","('C_87389', 0.736367351181022)","('C_812557', 0.7739844088997694)","('C_848848', 0.7750669731091702)","('C_2586806', 0.7766195205847788)"
2152,C_1503581,"('C_2486282', 0.5268068430639197)","('C_2106744', 0.5639503929963577)","('C_599959', 0.5701152241426999)","('C_2374018', 0.5987700681715267)","('C_2282336', 0.627870242433668)"
2153,C_1503789,"('C_584127', 0.2517050595921053)","('C_276233', 0.2591044832460645)","('C_2045415', 0.33133759548844666)","('C_403442', 0.5167103760001701)","('C_389892', 0.5340368535427424)"
2154,C_1504233,"('C_728150', 0.7618939632001689)","('C_210579', 0.7763276333740149)","('C_2477194', 0.8034430820459961)","('C_424574', 0.8257474132535655)","('C_843431', 0.8316336067373858)"
2155,C_1504415,"('C_2158742', 0.6911107578331388)","('C_1644573', 0.7069619350088183)","('C_2396350', 0.7078204122638623)","('C_690066', 0.7177916609118757)","('C_2529354', 0.738115623963802)"
2156,C_1504588,"('C_297319', 0.6557276786753508)","('C_631743', 0.7107893185449585)","('C_277712', 0.7107893185449585)","('C_1572736', 0.7170452650377839)","('C_615850', 0.7270658724734621)"
2157,C_1504599,"('C_171388', 0.43984058304958973)","('C_2266366', 0.46755364991743)","('C_2098191', 0.5045661915218276)","('C_713352', 0.5375007282186897)","('C_711144', 0.5690665403867338)"
2158,C_1504633,"('C_2135590', 0.4084400319966335)","('C_1396786', 0.5252527376280731)","('C_2440806', 0.5656484957883317)","('C_1617933', 0.5697288763678219)","('C_2377677', 0.6023431190952807)"
2159,C_1504791,"('C_2423098', 0.6893890475742234)","('C_1970429', 0.7763932022500211)","('C_567981', 0.7763932022500211)","('C_6970', 0.787379765638716)","('C_1028718', 0.8013384433726128)"
2160,C_150535,"('C_2149454', 0.6166583822727401)","('C_2304521', 0.6661005624457641)","('C_1522906', 0.6740213138998663)","('C_2127860', 0.6815659783701938)","('C_533953', 0.6900060977148783)"
2161,C_1505482,"('C_2254702', 0.0)","('C_1885894', 0.0)","('C_1505482', 0.0)","('C_2392179', 0.0)","('C_1436854', 0.29289321881345254)"
2162,C_1505699,"('C_1061748', 0.713242608222731)","('C_521796', 0.7150985588509051)","('C_193224', 0.7485431995754834)","('C_1232253', 0.7538170180413345)","('C_1960353', 0.7685681225891408)"
2163,C_1505781,"('C_1988003', 0.7727272727272727)","('C_1297940', 0.7867992836443896)","('C_1699616', 0.7888746066526349)","('C_855460', 0.793188831077142)","('C_2111761', 0.8004526586007947)"
2164,C_1506548,"('C_2407011', 0.6566500241856577)","('C_2194977', 0.668045979766188)","('C_1732513', 0.6681442742271255)","('C_419080', 0.6700489731772683)","('C_2056182', 0.7177916250427724)"
2165,C_1506781,"('C_1785663', 0.49124699972803987)","('C_735815', 0.6517401265424552)","('C_588015', 0.709868619653923)","('C_2111075', 0.726461511363034)","('C_2020424', 0.762935674536106)"
2166,C_1506815,"('C_1286358', 0.5210071941676198)","('C_166945', 0.6221873753887028)","('C_705706', 0.6730969279010452)","('C_326206', 0.725453894970082)","('C_1679794', 0.7373771510265588)"
2167,C_1506835,"('C_2427905', 0.7113248654051871)","('C_2235191', 0.71317607629459)","('C_1790993', 0.8337127341168806)","('C_655551', 0.8430338561356826)","('C_1438295', 0.8671125386507703)"
2168,C_1507737,"('C_1315394', 0.3455308486841878)","('C_1848575', 0.4633845454685873)","('C_1338177', 0.5517326141356811)","('C_492210', 0.5586179596189607)","('C_1069779', 0.5590025983535516)"
2169,C_1508250,"('C_1147616', 0.6993741798503545)","('C_1280607', 0.7176727868237983)","('C_732478', 0.7220194009042219)","('C_717608', 0.7240867319486515)","('C_2529354', 0.7305753288201011)"
2170,C_1508546,"('C_851622', 0.6764035753521643)","('C_1352311', 0.6764035753521643)","('C_2483930', 0.6764035753521643)","('C_1936893', 0.708098372803077)","('C_1338818', 0.714833572391246)"
